median	q25	q75	median_independent	q25_independent	q75_independent
-118.315	-119.728	-114.783	-150.009	-151.309	-149.48
-118.315	-119.702	-114.783	-150.009	-151.307	-149.48
-118.315	-119.702	-114.781	-150.009	-151.307	-149.48
-118.315	-119.702	-114.781	-150.009	-151.307	-149.48
-118.315	-119.702	-114.781	-150.008	-151.307	-149.48
-118.315	-119.694	-114.781	-150.008	-151.307	-149.48
-118.315	-119.694	-114.781	-150.008	-151.307	-149.48
-118.315	-119.689	-114.781	-150.008	-151.307	-149.48
-117.872	-119.689	-114.639	-150.008	-151.307	-149.48
-117.872	-119.689	-114.639	-150.008	-151.307	-149.48
-117.872	-119.689	-114.639	-150.008	-151.307	-149.48
-117.872	-119.689	-113.629	-150.008	-151.298	-149.48
-117.872	-119.689	-113.629	-150.008	-151.298	-149.48
-117.589	-119.689	-113.607	-149.936	-151.298	-149.48
-117.589	-119.689	-113.243	-149.936	-151.298	-149.48
-117.589	-119.689	-113.243	-149.936	-151.298	-149.48
-117.589	-119.689	-113.243	-149.936	-151.298	-149.48
-117.589	-119.689	-113.243	-149.933	-151.298	-149.48
-117.589	-119.689	-113.243	-149.933	-151.298	-149.48
-117.589	-119.689	-113.243	-149.933	-151.298	-149.48
-117.544	-119.689	-113.209	-149.933	-151.298	-149.48
-117.544	-119.689	-112.681	-149.933	-151.298	-149.48
-117.537	-119.689	-112.681	-149.933	-151.298	-149.48
-117.537	-119.36	-112.681	-149.933	-151.298	-149.48
-117.537	-119.36	-112.681	-149.933	-151.298	-149.48
-117.537	-119.36	-112.681	-149.933	-151.298	-149.48
-117.361	-119.36	-112.528	-149.933	-151.297	-149.48
-117.361	-119.36	-112.528	-149.933	-151.297	-149.48
-117.361	-119.36	-112.528	-149.933	-151.297	-149.48
-117.361	-119.36	-112.528	-149.933	-151.297	-149.48
-117.361	-119.352	-112.528	-149.933	-151.297	-149.48
-117.361	-119.352	-112.528	-149.933	-151.297	-149.48
-117.361	-119.352	-112.528	-149.933	-151.297	-149.48
-117.361	-119.352	-112.528	-149.933	-151.297	-149.48
-117.361	-119.352	-112.528	-149.933	-151.297	-149.48
-117.361	-119.352	-112.528	-149.933	-151.297	-149.48
-117.361	-119.352	-112.528	-149.933	-151.297	-149.48
-117.355	-119.352	-112.528	-149.933	-151.297	-149.48
-117.355	-119.352	-112.528	-149.933	-151.297	-149.48
-117.355	-119.352	-112.528	-149.933	-151.297	-149.48
-117.355	-119.352	-112.528	-149.933	-151.297	-149.48
-117.298	-119.352	-112.528	-149.933	-151.297	-149.48
